"intro_id"	"x"	"y"	"success"	"realm"	"island"	"fam"	"sp"	"Native_range_area"	"Introduction_date"	"Introduction_effort"	"Weaning_age"	"Litter_size"	"Litters_per_year"	"CV_adult_body_mass"	"CV_neonate_body_mass"
5321	-36.33332584	-54.41666638	1	"AN"	1	"Cervidae"	"Rangifer_tarandus"	119337	1911	10	122.5	1.25	0.97	0.343248688	0.260223243
10142	-36.58332585	-54.2499997	1	"AN"	1	"Cervidae"	"Rangifer_tarandus"	119337	1925	7	122.5	1.25	0.97	0.343248688	0.260223243
2529	-68.58332752	-53.91666635	1	"NT"	1	"Castoridae"	"Castor_canadensis"	70467	NA	50	45.8	3.732	1	0.172025481	0.16743498
10102	-67.91666082	-54.58333305	1	"NT"	1	"Cricetidae"	"Ondatra_zibethicus"	68408	1948	225	29.8	6.10972973	3.206298044	0.346921	0.116056071
2879	-69.4166609	-52.99999964	1	"NT"	1	"Canidae"	"Pseudalopex_griseus"	6411	1951	24	135	4.05	1	0.346364109	NA
2878	-68.58332752	-52.9166663	1	"NT"	1	"Canidae"	"Pseudalopex_griseus"	6411	NA	NA	135	4.05	1	0.346364109	NA
5394	-67.74999415	-54.41666638	0	"NT"	1	"Cervidae"	"Rangifer_tarandus"	119337	1947	NA	122.5	1.25	0.97	0.343248688	0.260223243
4329	-61.08332713	-51.91666625	1	"NT"	1	"Camelidae"	"Lama_guanicoe"	6501	1930	NA	NA	NA	NA	NA	NA
2875	-60.91666046	-51.91666625	1	"NT"	1	"Canidae"	"Pseudalopex_griseus"	6411	1930	NA	135	4.05	1	0.346364109	NA
2874	-61.08332713	-51.91666625	1	"NT"	1	"Canidae"	"Pseudalopex_griseus"	6411	1930	NA	135	4.05	1	0.346364109	NA
4028	-60.9999938	-51.91666625	1	"NT"	1	"Suidae"	"Sus_scrofa"	108966	1765	NA	67.9	4.950588235	1.528985507	0.4050536	0.385334276
2876	-59.74999373	-51.41666622	1	"NT"	1	"Canidae"	"Pseudalopex_griseus"	6411	1930	NA	135	4.05	1	0.346364109	NA
4328	-58.49999366	-51.74999957	1	"NT"	1	"Camelidae"	"Lama_guanicoe"	6501	1862	NA	NA	NA	NA	NA	NA
1473	-59.2499937	-51.74999957	1	"NT"	1	"Leporidae"	"Lepus_californicus"	16116	NA	NA	NA	NA	NA	NA	NA
587	-43.16665953	-22.74999806	1	"NT"	1	"Cercopithecidae"	"Macaca_mulatta"	24753	1940	300	248.2857143	1.0014	0.912974587	0.27680147	0.058629802
10116	166.0833514	-50.74999952	1	"AA"	1	"Leporidae"	"Lepus_europaeus"	46507	1865	12	24.42857143	5.48452381	5.262382445	0.30960824	0.144433399
129	166.0833514	-50.74999952	0	"AA"	1	"Phalangeridae"	"Trichosurus_vulpecula"	9176	1890	NA	169.75	1.026666667	1.371269876	0.180467243	0.462835066
412	167.8333515	-47.08333266	1	"AA"	1	"Erinaceidae"	"Erinaceus_europaeus"	18676	NA	NA	33.17692308	4.4	1.428571429	0.320689105	0.194093498
73	167.9166848	-47.08333266	0	"AA"	1	"Peramelidae"	"Isoodon_obesulus"	843	1873	NA	NA	NA	NA	NA	NA
5247	167.9166848	-47.08333266	1	"AA"	1	"Cervidae"	"Odocoileus_virginianus"	54597	1905	9	92.38888889	1.698035714	1.072222222	0.370871274	0.180618808
187	167.9166848	-47.08333266	0	"AA"	1	"Potoroidae"	"Potorous_tridactylus"	548	1867	NA	133.39	1	2.825426986	0.216431458	0.068635275
185	167.9166848	-47.08333266	1	"AA"	1	"Pseudocheiridae"	"Pseudocheirus_occidentalis"	78	1867	NA	174.2173913	1.707857143	1.491667201	0.113579557	NA
131	167.8333515	-46.74999931	0	"AA"	1	"Phalangeridae"	"Trichosurus_vulpecula"	9176	1890	NA	169.75	1.026666667	1.371269876	0.180467243	0.462835066
10162	147.2500171	-43.4166658	0	"AA"	1	"Suidae"	"Sus_scrofa"	108966	1770	2	67.9	4.950588235	1.528985507	0.4050536	0.385334276
189	148.0833504	-42.58333242	1	"AA"	1	"Potoroidae"	"Bettongia_gaimardi"	125	1971	123	93.43333333	1.013333333	3.078956533	0.011923828	0.04220039
315	148.0833504	-42.58333242	1	"AA"	1	"Macropodidae"	"Macropus_giganteus"	7571	1969	45	459.409	1.002857143	1.031550829	0.481656521	0.102166804
330	148.0833504	-42.58333242	1	"AA"	1	"Macropodidae"	"Macropus_rufogriseus"	2378	1969	127	371.8928571	1.028333333	1.157333589	0.14614983	0.177497602
58	148.0833504	-42.58333242	1	"AA"	1	"Peramelidae"	"Perameles_gunnii"	147	1971	55	60.57142857	2.39875	4.350133547	0.10475656	0.15713484
186	148.0833504	-42.58333242	1	"AA"	1	"Potoroidae"	"Potorous_tridactylus"	548	1971	136	133.39	1	2.825426986	0.216431458	0.068635275
1	148.0833504	-42.58333242	1	"AA"	1	"Tachyglossidae"	"Tachyglossus_aculeatus"	25331	1971	43	154.8181818	1.01	0.425	0.31699242	0.003049385
121	148.0833504	-42.58333242	1	"AA"	1	"Phalangeridae"	"Trichosurus_vulpecula"	9176	1971	15	169.75	1.026666667	1.371269876	0.180467243	0.462835066
3191	147.0833504	-41.4166657	0	"AA"	1	"Mustelidae"	"Mustela_putorius"	28933	1990	NA	57.25	8.478777778	1.517290249	0.20951341	0.136411961
180	146.5833504	-41.91666572	1	"AA"	1	"Petauridae"	"Petaurus_breviceps"	8727	1835	NA	NA	NA	NA	NA	NA
184	146.5833504	-41.91666572	1	"AA"	1	"Pseudocheiridae"	"Pseudocheirus_occidentalis"	78	1971	61	174.2173913	1.707857143	1.491667201	0.113579557	0
10186	171.0833516	-42.7499991	0	"AA"	1	"Cervidae"	"Alces_alces"	45549	1900	4	64.2	1.371045455	1.35	0.260820305	0.182502612
10172	166.7500181	-45.91666593	0	"AA"	1	"Cervidae"	"Alces_alces"	45549	1910	10	64.2	1.371045455	1.35	0.260820305	0.182502612
10017	170.6666849	-45.41666591	1	"AA"	1	"Cervidae"	"Axis_axis"	7503	1867	7	120.936	1.129	0.869047619	0.212895826	0.171849068
10010	170.7500183	-45.08333256	0	"AA"	1	"Cervidae"	"Axis_axis"	7503	1867	7	120.936	1.129	0.869047619	0.212895826	0.171849068
4464	170.4166849	-45.74999926	0	"AA"	1	"Cervidae"	"Axis_axis"	7503	1902	NA	120.936	1.129	0.869047619	0.212895826	0.171849068
10029	168.0000181	-45.58333258	1	"AA"	1	"Cervidae"	"Cervus_elaphus"	66360	1909	18	91.45454545	1.055294118	0.92875	0.482339166	0.406412091
10022	170.5000183	-45.74999926	1	"AA"	1	"Cervidae"	"Cervus_elaphus"	66360	1871	17	91.45454545	1.055294118	0.92875	0.482339166	0.406412091
403	169.0833515	-45.08333256	1	"AA"	1	"Erinaceidae"	"Erinaceus_europaeus"	18676	1927	NA	33.17692308	4.4	1.428571429	0.320689105	0.194093498
402	169.5000183	-45.1666659	1	"AA"	1	"Erinaceidae"	"Erinaceus_europaeus"	18676	1927	NA	33.17692308	4.4	1.428571429	0.320689105	0.194093498
10042	172.5833517	-43.58333248	1	"AA"	1	"Erinaceidae"	"Erinaceus_europaeus"	18676	1892	12	33.17692308	4.4	1.428571429	0.320689105	0.194093498
410	173.0833517	-41.33333236	1	"AA"	1	"Erinaceidae"	"Erinaceus_europaeus"	18676	NA	NA	33.17692308	4.4	1.428571429	0.320689105	0.194093498
391	171.1666849	-43.74999915	0	"AA"	1	"Erinaceidae"	"Erinaceus_europaeus"	18676	1869	6	33.17692308	4.4	1.428571429	0.320689105	0.194093498
5857	170.0833516	-43.58333248	1	"AA"	1	"Bovidae"	"Hemitragus_jemlahicus"	472	1907	NA	150.05	1.085714286	1	0.452558088	0.210627552
5900	170.2500183	-43.58333248	1	"AA"	1	"Bovidae"	"Hemitragus_jemlahicus"	472	1904	23	150.05	1.085714286	1	0.452558088	0.210627552
